pointid;plz;ort;strasse;zusatztext;gefoerdert_jahr;note1;note2;bundesland;Breitenangabe;Längenangabe;;
130;3743;Röschitz;Kirchengasse;;2006;Spielplatz Röschitz;Spielplatz Röschitz,3743, Röschitz;N;48.667.191;15.887.207;;
131;3512;Schenkenbrunn, Bergern i.D.;;direkt im Ort  Schenkenbrunn;2003;Spielplatz Schenkenbrunn;Spielplatz Schenkenbrunn,3512, Bergern i.D.;N;48.343.720;15.485.379;;
132;2193;Wilfersdorf;Hauptstraße 1;Wilfersdorf;2002;Spielplatz Schlossgraben;Spielplatz Schlossgraben,2193, Wilfersdorf;N;48.585.529;16.645.588;;
133;2151;Asparn/Zaya;;gegenüber Schloss Asparn;2006;Spielplatz Schlosswiese;Spielplatz Schlosswiese,2151, Asparn/Zaya;N;48.589.637;16.495.213;;
134;3562;Schönberg;Mollands 80;hinter Feuerwehrhaus;2006;Spielplatz Mollands;Spielplatz Mollands,3562, Schönberg;N;48.514.690;15.672.586;;
135;3900;Schwarzenau;Thayagasse 12;;2005;Spielplatz Schwarzenau;Spielplatz Schwarzenau,3900, Schwarzenau;N;48.741.539;15.263.121;;
136;3322;Seisenegg, Gem. Viehdorf;Meierhof Nr 3;;;Spielplatz Seisenegg;Spielplatz Seisenegg,3322, Seisenegg, Gem. Viehdorf;N;48.135.822;14.921.394;;
137;3133;Traismauer;;;2002;Spielplatz Siedlung;Spielplatz Siedlung,3133, Traismauer;N;48.353.722;15.746.176;;
138;3714;Sitzendorf an der Schmida;;;2006;Spielplatz Sitzendorf;Spielplatz Sitzendorf,3714, Sitzendorf an der Schmida;N;48.599.517;15.943.199;;
139;3904;Vitis;;;2005;Spielplatz Sonnensiedlung;Spielplatz Sonnensiedlung,3904, Vitis;N;48.762.376;15.180.312;;
140;3390;Melk;Abt Karl-Straße;;2004;Spielplatz Stadtpark;Spielplatz Stadtpark,3390, Melk;N;48.225.988;15.330.717;;
141;3511;Furth bei Göttweig;Stift Göttweig;direkt neben dem Eingang des Benediktinerstiftes Göttweig;2010;Spielplatz beim Stift Göttweig;Spielplatz Stift Göttweig , 3511 Furth bei Göttweig;N;48.383.921;15.647.615;;
142;2763;Waidmannsfeld;;;2006;Spielplatz Neusiedl;Spielplatz in Neusiedl,2763, Waidmannsfeld;N;47.893.526;15.962.861;;
143;2831;Warth;;beim Promenadenweg in Warth;2004;Spielplatz Warth;Spielplatz Warth,2831, Warth;N;47.657.712;16.134.652;;
144;3680;Hofamt Priel;Weinserstraße 45;;2005;Spielplatz Weins;Spielplatz Weins,3680, Hofamt Priel;N;48.199.246;15.030.531;;
145;3652;Weitenegg;Weitenegg 8;;2006;Spielplatz Weitenegg im Freizeitzentrum;Spielplatz Weitenegg im Freizeitzentrum,3652, Weitenegg;N;48.229.596;15.296.548;;
146;2084;Weitersfeld;;;2004;Spielplatz Weitersfeld;Spielplatz Weitersfeld,2084, Weitersfeld;N;48.784.667;15.810.621;;
147;2351;Wiener Neudorf;Schloßmühlplatz 1;im Klosterareal;2002;Spielplatz Wiener Neudorf;Spielplatz Wiener Neudorf,2351, Wiener Neudorf;N;48.084.370;16.321.298;;
148;2164;Wildendürnbach;;;2005;Spielplatz Wildendürnbach;Spielplatz Wildendürnbach,2164, Wildendürnbach;N;48.756.916;16.504.154;;
149;3571;Gars am Kamp;;;2003;Spielplatz Wörth;Spielplatz Wörth,3571, Gars am Kamp;N;48.595.505;15.657.955;;
151;2492;Zillingdorf;;;2002;Spielplatz Zillingdorf;Spielplatz Zillingdorf,2492, Zillingdorf;N;47.849.766;16.323.281;;
152;3163;Rohrbach an der Gölsen;An der Sägemühle;in Unterrohrbach, an der Straße Sägemühle;2003;Spieltraum Rohrbach;Spieltraum Rohrbach,3163, Rohrbach an der Gölsen;N;48.045.143;15.738.369;;
